JD,u,g,r,i,B,V
249.77,16.630(013),15.593(004),15.660(004),16.069(006),15.769(006),15.576(006)
250.79,16.782(012),15.661(008),15.701(007),16.110(009),15.848(008),15.629(009)
251.81,16.886(011),15.768(008),15.753(009),16.110(009),15.949(009),15.672(009)
252.85,17.030(011),15.835(005),15.786(004),16.049(007),16.047(006),15.719(005)
253.77,17.150(011),15.910(004),15.778(004),...,16.151(013),15.774(005)
256.72,17.627(009),16.237(005),15.803(005),16.021(007),16.568(006),15.960(010)
257.71,17.767(013),16.355(008),15.837(010),16.032(011),16.705(008),16.016(009)
258.74,17.913(011),16.487(005),15.858(005),16.008(007),16.854(007),16.080(008)
259.76,18.062(011),16.622(004),15.901(004),15.993(005),16.998(006),16.159(005)
260.78,18.216(011),16.732(008),15.931(009),15.992(009),17.132(008),16.239(008)
261.70,18.350(013),16.847(008),15.953(009),15.982(009),17.226(013),16.315(011)
262.69,18.446(014),16.966(011),16.045(009),16.018(009),17.383(009),16.402(010)
263.75,18.602(016),17.077(012),16.104(011),16.082(014),17.513(014),16.524(013)
264.72,18.707(019),17.206(010),16.154(011),16.124(014),17.607(015),16.590(013)
265.77,18.802(015),17.315(008),16.243(007),16.158(008),17.707(014),16.664(009)
266.71,18.847(015),17.378(005),16.307(004),16.231(005),17.797(009),16.742(007)
267.72,18.945(022),17.452(008),16.385(006),16.289(009),17.859(012),16.805(008)
268.72,19.016(018),17.497(009),16.397(008),16.338(010),17.901(009),16.851(007)
269.68,...,...,...,...,17.955(017),16.928(007)
270.68,...,...,...,...,17.997(011),16.955(006)
271.77,19.130(023),17.642(008),16.546(007),16.532(009),18.035(011),16.997(007)
272.75,19.120(026),17.682(009),16.592(009),16.565(008),18.071(012),17.030(008)
273.78,19.105(032),17.693(008),16.633(008),16.623(009),18.110(012),17.062(009)
274.70,19.169(039),17.746(009),16.675(007),16.672(008),18.124(016),17.074(009)
275.72,19.297(061),17.766(011),16.729(008),16.742(008),18.144(022),17.119(009)
276.73,19.114(058),17.780(017),16.760(007),16.785(010),18.163(026),17.139(009)
277.66,19.320(095),17.823(017),16.768(013),16.796(018),18.174(031),17.157(016)
279.68,19.272(044),17.818(012),16.837(010),16.879(011),18.204(019),17.216(011)
280.69,19.321(031),17.841(010),16.869(009),16.932(014),18.206(016),17.252(012)
281.71,19.302(028),17.862(009),16.917(009),16.981(009),18.264(016),17.273(011)
282.68,19.390(026),17.876(009),16.941(009),17.033(013),...,...
284.81,...,17.877(008),17.043(005),17.085(008),18.304(013),17.321(043)
287.67,19.433(021),17.962(007),17.088(007),17.210(009),18.321(009),17.412(008)
289.74,19.446(019),17.943(010),17.171(009),17.292(010),18.349(010),17.452(009)
291.67,19.479(021),17.991(008),17.224(007),17.364(009),18.361(010),17.505(008)
293.70,19.520(032),18.031(005),17.286(005),17.427(006),18.347(026),17.527(009)
294.77,19.584(026),18.046(006),17.329(005),17.474(006),18.427(010),17.564(007)
295.73,19.517(027),18.038(009),17.325(009),17.499(011),18.430(010),17.579(011)
299.66,19.640(027),18.101(008),17.435(012),17.632(016),18.471(012),17.679(011)
305.74,19.761(081),...,...,...,...,...
323.71,20.004(160),18.434(008),18.216(009),18.455(017),...,...
324.66,20.078(039),18.432(007),18.245(010),18.410(011),18.773(010),18.202(009)
329.67,20.172(053),18.504(010),18.336(010),18.561(013),18.845(015),18.299(014)
331.60,20.194(078),18.529(010),18.460(012),18.597(017),18.870(020),18.330(015)
341.57,20.406(043),18.684(009),18.838(012),18.877(016),19.023(013),18.560(012)
345.60,20.531(049),18.665(015),18.865(016),18.983(022),19.115(014),18.641(011)
349.58,20.680(059),18.794(012),18.992(017),19.069(017),19.141(012),18.724(013)
365.60,...,19.062(023),19.476(027),19.496(032),19.434(035),19.070(023)
