JD,u,g,r,i,B,V
266.50,18.515(017),17.405(016),17.198(016),17.364(016),17.574(017),17.298(016)
267.49,17.889(019),16.990(016),16.826(016),16.979(016),17.117(017),16.917(016)
268.49,17.381(017),16.630(016),16.517(016),16.651(016),16.736(017),16.613(016)
269.54,,,,,16.456(017),16.331(017)
270.54,,,,,16.203(012),16.115(016)
271.52,16.499(019),15.904(016),15.844(016),16.015(017),16.018(017),15.940(016)
272.52,16.339(019),15.758(017),15.707(016),15.895(016),15.857(017),15.784(016)
273.51,16.207(019),15.637(017),15.592(016),15.796(016),15.742(017),15.670(017)
274.49,16.126(020),15.551(016),15.509(016),15.751(017),15.657(017),15.578(016)
275.49,16.117(025),15.498(018),15.448(017),15.720(017),15.583(017),15.505(017)
276.56,16.086(021),,15.391(016),15.719(016),15.538(019),15.452(017)
277.48,16.077(019),15.392(016),15.372(016),15.752(016),15.501(017),15.404(016)
278.49,16.093(017),15.352(017),15.344(016),15.788(016),15.489(017),15.375(016)
279.50,16.124(017),15.341(016),15.323(016),15.818(016),15.491(017),15.366(016)
280.49,16.212(017),15.385(016),15.316(016),15.841(017),15.517(017),15.362(016)
281.49,16.307(017),15.406(016),15.319(016),15.854(017),15.557(017),15.367(016)
282.49,16.418(017),15.406(016),15.321(016),15.879(016),,
285.55,,,,,,15.471(019)
287.55,17.102(017),15.773(016),15.552(016),16.122(016),16.075(017),15.566(017)
288.54,17.281(017),15.855(016),15.613(016),16.179(017),16.190(017),15.632(017)
289.56,17.438(017),15.969(016),15.684(016),16.216(017),16.314(017),15.695(016)
290.55,17.615(018),16.065(016),15.735(016),16.244(016),16.447(017),15.773(016)
291.53,17.767(017),16.178(016),15.783(016),16.245(017),16.583(017),15.853(016)
292.54,17.960(017),16.291(016),15.823(016),16.233(016),16.716(017),15.931(016)
294.49,18.285(018),16.532(016),15.891(017),16.200(017),16.983(017),16.073(017)
295.48,18.395(018),16.638(017),15.923(016),16.195(016),17.104(017),16.155(016)
298.51,18.772(022),16.955(016),16.017(016),16.182(016),17.456(017),16.356(016)
300.49,18.998(055),17.142(017),16.096(017),16.196(017),17.642(017),16.492(016)
301.49,19.016(038),17.233(017),16.141(016),16.218(017),17.710(017),16.554(017)
302.49,19.074(045),17.343(017),16.187(016),16.238(017),17.802(017),16.616(016)
303.50,19.134(042),17.401(017),16.253(016),16.248(016),17.919(017),16.683(016)
304.50,,17.490(017),16.307(017),16.248(017),17.952(036),16.835(034)
305.49,19.344(047),17.573(017),16.375(016),16.327(016),18.000(028),16.829(017)
307.53,19.397(075),17.668(017),16.533(016),16.448(017),18.166(033),16.985(017)
308.50,19.460(028),17.773(016),16.613(016),16.533(017),18.215(017),17.059(016)
309.49,19.531(028),17.828(017),16.689(016),16.624(017),18.281(017),17.125(016)
310.50,19.600(031),17.874(016),16.758(016),16.703(017),18.332(017),17.196(016)
311.50,19.632(028),17.917(017),16.827(016),16.777(017),18.372(017),17.250(016)
312.50,19.660(028),17.979(016),16.886(016),16.852(017),,
321.53,20.056(084),18.248(016),17.273(016),17.299(016),,
329.52,,18.333(019),17.529(016),17.612(016),18.879(035),17.856(016)
341.52,,18.601(027),17.916(016),18.049(027),19.001(038),18.104(025)
